,Current Time,Price,Moving Average,Action
0,18:50:02,155.655,,
1,18:50:02,155.6,,
2,18:50:02,155.2,,
3,18:50:02,156.385,155.78586,SELL
4,18:50:02,156.03,155.86588,SELL
5,18:50:02,154.74,155.52347,BUY
6,18:50:02,154.68,155.28012,BUY
7,18:50:02,154.7,155.11895,BUY
8,18:50:02,154.7,155.00571,BUY
9,18:50:02,154.005,154.74061,BUY
10,18:50:02,154.68,154.72479,BUY
11,18:50:02,154.68,154.71322,BUY
12,18:50:02,154.515,154.66246,BUY
13,18:50:02,154.60000000000002,154.64656,BUY
14,18:50:02,154.68,154.65504,SELL
15,18:50:02,154.0,154.48962,BUY
16,18:50:02,154.285,154.43808,BUY
17,18:50:02,154.005,154.32919,BUY
18,18:50:02,154.34,154.33191,SELL
19,18:50:02,154.32750000000001,154.3308,BUY
20,18:50:02,154.005,154.24916,BUY
21,18:50:02,154.0,154.18676,BUY
22,18:50:02,154.68,154.31023,SELL
23,18:50:02,154.35,154.32018,SELL
24,18:50:02,154.45850000000002,154.35479,SELL
25,18:50:02,153.9975,154.26542,BUY
26,18:50:02,154.005,154.20028,BUY
27,18:50:02,154.46,154.26523,SELL
28,18:50:02,154.45,154.31144,SELL
29,18:50:02,154.67,154.40109,SELL
30,18:50:02,154.135,154.33456,BUY
31,18:50:02,154.42000000000002,154.35592,SELL
32,18:50:02,154.185,154.31319,BUY
33,18:50:02,155.6,154.63491,SELL
34,18:50:02,154.05,154.48868,BUY
35,18:50:02,154.025,154.37275,BUY
36,18:50:02,154.0,154.27956,BUY
37,18:50:02,154.01,154.21217,BUY
38,18:50:02,153.975,154.15288,BUY
39,18:50:02,154.17675,154.15885,SELL
40,18:50:02,154.05,154.13163,BUY
41,18:50:02,153.9,154.07373,BUY
42,18:50:02,153.98499999999999,154.05154,BUY
43,18:50:02,154.33750534057617,154.12303,SELL
44,18:50:02,154.63700485229492,154.25153,SELL
45,18:50:02,154.7812728881836,154.38396,SELL
46,18:50:02,154.57500076293945,154.43172,SELL
47,18:50:02,154.65545272827148,154.48766,SELL
48,18:50:02,154.677001953125,154.53499,SELL
49,18:50:02,154.57125091552734,154.54406,SELL
50,18:50:02,154.6820526123047,154.57856,SELL
51,18:50:02,154.748779296875,154.62111,SELL
52,18:50:02,154.72999954223633,154.64833,SELL
53,18:50:02,154.6974983215332,154.66062,SELL
54,18:50:02,154.72999954223633,154.67797,SELL
55,18:50:02,154.75250244140625,154.6966,SELL
56,18:50:02,154.7385482788086,154.70709,SELL
57,18:50:02,154.83749771118164,154.73969,SELL
58,18:50:02,155.0749969482422,154.82352,SELL
59,18:50:02,155.11624908447266,154.8967,SELL
60,18:50:02,155.1999969482422,154.97252,SELL
61,18:50:02,155.21499633789062,155.03314,SELL
62,18:50:02,155.24500274658203,155.08611,SELL
63,18:50:02,155.31750106811523,155.14396,SELL
64,18:50:02,155.15077590942383,155.14566,SELL
65,18:50:02,154.92749786376953,155.09112,BUY
66,18:50:02,154.88125228881836,155.03865,BUY
67,18:50:02,154.93625259399414,155.01305,BUY
68,18:50:02,155.0875015258789,155.03167,SELL
69,18:50:02,155.1112518310547,155.05156,SELL
70,18:50:02,155.0412483215332,155.04898,BUY
71,18:50:02,154.9474983215332,155.02361,BUY
72,18:50:02,154.880126953125,154.98774,BUY
73,18:50:02,154.8974952697754,154.96518,BUY
74,18:50:02,154.93249893188477,154.95701,BUY
75,18:50:02,154.96624755859375,154.95932,SELL
76,18:50:02,155.04125213623047,154.9798,SELL
77,18:50:02,155.04249954223633,154.99548,SELL
78,18:50:02,155.01179885864258,154.99956,SELL
79,18:50:02,154.96374893188477,154.99061,BUY
80,18:50:02,154.93999862670898,154.97795,BUY
81,18:50:02,154.90750122070312,154.96034,BUY
82,18:50:02,154.9858512878418,154.96672,SELL
83,18:50:02,155.06500625610352,154.99129,SELL
84,18:50:02,155.11999893188477,155.02347,SELL
85,18:50:02,155.08624649047852,155.03916,SELL
86,18:50:02,155.09561920166016,155.05328,SELL
87,18:50:02,155.20874786376953,155.09214,SELL
88,18:50:02,155.27875137329102,155.1388,SELL
89,18:50:02,155.2874984741211,155.17597,SELL
90,18:50:02,155.2150001525879,155.18573,SELL
91,18:50:02,155.31999969482422,155.2193,SELL
92,18:50:02,155.30125045776367,155.23978,SELL
93,18:50:02,155.16250228881836,155.22046,BUY
94,18:50:02,155.13552474975586,155.19923,BUY
95,18:50:02,155.19499969482422,155.19817,BUY
96,18:50:02,155.20637893676758,155.20022,SELL
97,18:50:02,155.24249649047852,155.21079,SELL
98,18:50:02,155.27992630004883,155.22808,SELL
99,18:50:02,155.2874984741211,155.24293,SELL
100,18:50:02,155.37749862670898,155.27657,SELL
101,18:50:02,155.45249557495117,155.32055,SELL
102,18:50:02,155.42499542236328,155.34666,SELL
103,18:50:02,155.32999420166016,155.3425,BUY
104,18:50:02,155.23767471313477,155.31629,BUY
105,18:50:02,155.2302474975586,155.29478,BUY
106,18:50:02,155.2513771057129,155.28393,BUY
107,18:50:02,155.26379776000977,155.2789,BUY
108,18:50:02,155.2406005859375,155.26932,BUY
109,18:50:02,155.23159790039062,155.25989,BUY
110,18:50:02,155.22492599487305,155.25115,BUY
111,18:50:02,155.2375030517578,155.24774,BUY
112,18:50:02,155.32374954223633,155.26674,SELL
113,18:50:02,155.35249710083008,155.28818,SELL
