,Current Time,Price,Moving Average,Action
0,19:21:10,48.86125087738037,,
1,19:21:10,48.845001220703125,,
2,19:21:10,48.80249881744385,,
3,19:21:10,48.77124881744385,48.80888,BUY
4,19:21:10,48.7862491607666,48.80146,BUY
5,19:21:10,48.779998779296875,48.79493,BUY
6,19:21:10,48.7450008392334,48.78053,BUY
7,19:21:10,48.77999973297119,48.78038,BUY
8,19:21:10,48.85375118255615,48.80021,SELL
9,19:21:10,48.89999961853027,48.82665,SELL
10,19:21:10,48.83392524719238,48.82855,SELL
11,19:21:10,48.83625030517578,48.83054,SELL
12,19:21:10,48.84749984741211,48.83488,SELL
13,19:21:10,48.91749954223633,48.85591,SELL
14,19:21:10,48.92624855041504,48.87373,SELL
15,19:21:10,48.91499996185303,48.88415,SELL
16,19:21:10,48.97500038146973,48.90704,SELL
17,19:21:10,48.95750045776367,48.91972,SELL
18,19:21:10,48.89249897003174,48.91289,BUY
19,19:21:10,48.91374969482422,48.91311,SELL
20,19:21:10,48.937499046325684,48.91922,SELL
21,19:21:10,48.977500915527344,48.93381,SELL
22,19:21:10,48.984999656677246,48.94663,SELL
23,19:21:10,48.980000495910645,48.95498,SELL
24,19:21:10,48.922499656677246,48.94685,BUY
25,19:21:10,48.898024559020996,48.93464,BUY
26,19:21:10,48.87375068664551,48.91941,BUY
27,19:21:10,48.86875057220459,48.90674,BUY
28,19:21:10,48.8700008392334,48.89755,BUY
29,19:21:10,48.907498359680176,48.90004,SELL
30,19:21:10,48.928274154663086,48.9071,SELL
31,19:21:10,48.97499942779541,48.92408,SELL
32,19:21:10,49.019999504089355,48.94806,SELL
33,19:21:10,48.977500915527344,48.95542,SELL
34,19:21:10,48.97749900817871,48.96094,SELL
35,19:21:10,48.96249961853027,48.96133,SELL
36,19:21:10,49.0,48.971,SELL
37,19:21:10,49.03249931335449,48.98637,SELL
38,19:21:10,49.09999942779541,49.01478,SELL
39,19:21:10,49.16499996185303,49.05234,SELL
40,19:21:10,49.209999084472656,49.09175,SELL
41,19:21:10,49.172499656677246,49.11194,SELL
42,19:21:10,49.13999938964844,49.11895,SELL
43,19:21:10,49.269999504089355,49.15672,SELL
44,19:21:10,49.250749588012695,49.18022,SELL
45,19:21:10,49.29999923706055,49.21017,SELL
46,19:21:10,49.2425012588501,49.21825,SELL
47,19:21:10,49.21500015258789,49.21744,BUY
48,19:21:10,49.20249938964844,49.2137,BUY
49,19:21:10,49.17749881744385,49.20465,BUY
50,19:21:10,49.16249942779541,49.19411,BUY
51,19:21:10,49.194499015808105,49.19421,SELL
52,19:21:10,49.23750019073486,49.20503,SELL
53,19:21:10,49.28375053405762,49.22471,SELL
54,19:21:10,49.32000160217285,49.24853,SELL
55,19:21:10,49.35749912261963,49.27578,SELL
56,19:21:10,49.27499866485596,49.27558,BUY
57,19:21:10,49.251874923706055,49.26965,BUY
58,19:21:10,49.22999954223633,49.25974,BUY
59,19:21:10,49.2524995803833,49.25793,BUY
60,19:21:10,49.26749897003174,49.26032,SELL
61,19:21:10,49.28000068664551,49.26524,SELL
62,19:21:10,49.2524995803833,49.26206,BUY
63,19:21:10,49.28750038146973,49.26842,SELL
64,19:21:10,49.27000045776367,49.26881,SELL
65,19:21:10,49.27000045776367,49.26911,SELL
66,19:21:10,49.279998779296875,49.27183,SELL
67,19:21:10,49.37249946594238,49.297,SELL
68,19:21:10,49.378750801086426,49.31744,SELL
69,19:21:10,49.34999942779541,49.32558,SELL
70,19:21:10,49.361249923706055,49.3345,SELL
71,19:21:10,49.36375045776367,49.34181,SELL
72,19:21:10,49.34749984741211,49.34323,SELL
73,19:21:10,49.34999942779541,49.34492,SELL
74,19:21:10,49.34499931335449,49.34494,SELL
75,19:21:10,49.3412504196167,49.34402,BUY
76,19:21:10,49.3818244934082,49.35347,SELL
77,19:21:10,49.41624927520752,49.36917,SELL
78,19:21:10,49.4449987411499,49.38812,SELL
79,19:21:10,49.51250076293945,49.41922,SELL
80,19:21:10,49.515000343322754,49.44316,SELL
81,19:21:10,49.529998779296875,49.46487,SELL
82,19:21:10,49.4925012588501,49.47178,SELL
83,19:21:10,49.502498626708984,49.47946,SELL
84,19:21:10,49.5099983215332,49.48709,SELL
85,19:21:10,49.5099983215332,49.49282,SELL
86,19:21:10,49.60249900817871,49.52024,SELL
87,19:21:10,49.5987491607666,49.53987,SELL
88,19:21:10,49.607500076293945,49.55678,SELL
89,19:21:10,49.599998474121094,49.56758,SELL
90,19:21:10,49.617499351501465,49.58006,SELL
91,19:21:10,49.65750026702881,49.59942,SELL
92,19:21:10,49.68375015258789,49.6205,SELL
93,19:21:10,49.67749881744385,49.63475,SELL
94,19:21:10,49.65500068664551,49.63981,SELL
95,19:21:10,49.66999816894531,49.64736,SELL
96,19:21:10,49.67124843597412,49.65333,SELL
97,19:21:10,49.7067756652832,49.66669,SELL
98,19:21:10,49.70500087738037,49.67627,SELL
