Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-23 04:00:00-04:00,58.1,58.8,58.1,58.8,58.8,0
2023-03-23 04:01:00-04:00,58.8,58.87,58.8,58.87,58.87,0
2023-03-23 04:02:00-04:00,58.8,58.8,58.8,58.8,58.8,0
2023-03-23 04:03:00-04:00,58.8,58.8,58.8,58.8,58.8,0
2023-03-23 04:09:00-04:00,58.89,58.89,58.7,58.7,58.7,0
2023-03-23 04:13:00-04:00,58.89,58.89,58.89,58.89,58.89,0
2023-03-23 04:16:00-04:00,58.89,58.98,58.87,58.98,58.98,0
2023-03-23 04:19:00-04:00,59.06,59.31,58.98,59.18,59.18,0
2023-03-23 04:20:00-04:00,59.22,59.3,59.22,59.3,59.3,0
2023-03-23 04:21:00-04:00,59.24,59.73,59.24,59.73,59.73,0
2023-03-23 04:28:00-04:00,59.21,59.21,59.21,59.21,59.21,0
2023-03-23 04:38:00-04:00,59.18,59.18,59.18,59.18,59.18,0
2023-03-23 04:42:00-04:00,59.15,59.15,59.15,59.15,59.15,0
2023-03-23 04:43:00-04:00,59.18,59.18,59.17,59.17,59.17,0
2023-03-23 04:44:00-04:00,59.19,59.2,59.17,59.17,59.17,0
2023-03-23 04:45:00-04:00,59.17,59.17,59.17,59.17,59.17,0
2023-03-23 04:46:00-04:00,59.17,59.17,59.17,59.17,59.17,0
2023-03-23 04:49:00-04:00,59.17,59.17,59.17,59.17,59.17,0
2023-03-23 04:50:00-04:00,59.17,59.18,59.17,59.18,59.18,0
2023-03-23 04:51:00-04:00,59.18,59.18,59.18,59.18,59.18,0
2023-03-23 04:55:00-04:00,59.14,59.17,59.14,59.17,59.17,0
2023-03-23 04:57:00-04:00,59.14,59.17,59.14,59.14,59.14,0
2023-03-23 05:00:00-04:00,59.16,59.17,59.16,59.16,59.16,0
2023-03-23 05:01:00-04:00,59.14,59.14,59.13,59.13,59.13,0
2023-03-23 05:02:00-04:00,59.13,59.13,59.13,59.13,59.13,0
2023-03-23 05:05:00-04:00,59.12,59.12,59.12,59.12,59.12,0
2023-03-23 05:07:00-04:00,59.12,59.12,59.12,59.12,59.12,0
2023-03-23 05:08:00-04:00,59.12,59.12,59.12,59.12,59.12,0
2023-03-23 05:09:00-04:00,59.15,59.16,59.15,59.16,59.16,0
2023-03-23 05:10:00-04:00,59.12,59.12,59.12,59.12,59.12,0
2023-03-23 05:11:00-04:00,59.14,59.16,59.14,59.14,59.14,0
2023-03-23 05:13:00-04:00,59.14,59.14,59.14,59.14,59.14,0
2023-03-23 05:14:00-04:00,59.14,59.16,59.14,59.16,59.16,0
2023-03-23 05:16:00-04:00,59.16,59.16,59.07,59.07,59.07,0
2023-03-23 05:24:00-04:00,59.16,59.16,59.16,59.16,59.16,0
2023-03-23 05:31:00-04:00,59.02,59.02,59.0,59.01,59.01,0
2023-03-23 05:32:00-04:00,59.0,59.0,59.0,59.0,59.0,0
2023-03-23 05:36:00-04:00,58.94,58.97,58.94,58.95,58.95,0
2023-03-23 05:44:00-04:00,59.0,59.0,59.0,59.0,59.0,0
2023-03-23 05:45:00-04:00,58.99,59.0,58.99,59.0,59.0,0
2023-03-23 05:46:00-04:00,59.01,59.13,59.0,59.13,59.13,0
2023-03-23 05:47:00-04:00,59.14,59.14,59.13,59.13,59.13,0
2023-03-23 05:49:00-04:00,59.13,59.13,59.13,59.13,59.13,0
2023-03-23 05:50:00-04:00,59.12,59.12,59.12,59.12,59.12,0
2023-03-23 05:51:00-04:00,59.11,59.11,59.11,59.11,59.11,0
2023-03-23 05:52:00-04:00,59.11,59.14,59.11,59.14,59.14,0
2023-03-23 05:55:00-04:00,59.14,59.14,59.14,59.14,59.14,0
2023-03-23 06:06:00-04:00,59.0,59.0,59.0,59.0,59.0,0
2023-03-23 06:07:00-04:00,59.0,59.0,59.0,59.0,59.0,0
2023-03-23 06:09:00-04:00,59.0,59.0,58.96,58.96,58.96,0
2023-03-23 06:17:00-04:00,59.0,59.0,59.0,59.0,59.0,0
2023-03-23 06:24:00-04:00,58.9,58.92,58.65,58.73,58.73,0
2023-03-23 06:25:00-04:00,58.73,58.91,58.73,58.91,58.91,0
2023-03-23 06:26:00-04:00,58.9,58.9,58.89,58.89,58.89,0
2023-03-23 06:27:00-04:00,58.73,58.73,58.73,58.73,58.73,0
2023-03-23 06:28:00-04:00,58.97,58.97,58.97,58.97,58.97,0
2023-03-23 06:35:00-04:00,58.95,58.95,58.95,58.95,58.95,0
2023-03-23 06:46:00-04:00,58.93,58.94,58.93,58.94,58.94,0
2023-03-23 06:59:00-04:00,58.9,58.92,58.9,58.92,58.92,0
2023-03-23 07:00:00-04:00,58.73,58.87,58.73,58.75,58.75,0
2023-03-23 07:01:00-04:00,58.91,58.95,58.91,58.93,58.93,0
