,Current Time,Price,Moving Average,Action
0,19:17:03,16.62,,
1,19:17:03,16.68,,
2,19:17:03,16.69,,
3,19:17:03,16.71,16.68446,SELL
4,19:17:03,16.725,16.69775,SELL
5,19:17:03,16.725,16.70604,SELL
6,19:17:03,16.71,16.70718,SELL
7,19:17:03,16.71,16.70796,SELL
8,19:17:03,16.71,16.70851,SELL
9,19:17:03,16.71,16.70891,SELL
10,19:17:03,16.71,16.70919,SELL
11,19:17:03,16.77,16.72489,SELL
12,19:17:03,16.71,16.72108,BUY
13,19:17:03,16.71,16.71826,BUY
14,19:17:03,16.71,16.71617,BUY
15,19:17:03,16.71,16.71461,BUY
16,19:17:03,16.75,16.72352,SELL
17,19:17:03,16.8,16.74275,SELL
18,19:17:03,16.836175,16.76621,SELL
19,19:17:03,16.79675,16.77387,SELL
20,19:17:03,16.62,16.73531,BUY
21,19:17:03,16.67,16.71895,BUY
22,19:17:03,16.99,16.7868,SELL
23,19:17:03,16.9425,16.82577,SELL
24,19:17:03,16.9695,16.86173,SELL
25,19:17:03,16.94,16.88131,SELL
26,19:17:03,16.94,16.89599,SELL
27,19:17:03,16.85,16.88449,BUY
28,19:17:03,16.82,16.86836,BUY
29,19:17:03,16.669999999999998,16.81876,BUY
30,19:17:03,16.67,16.78157,BUY
31,19:17:03,16.66,16.75117,BUY
32,19:17:03,16.665,16.72963,BUY
33,19:17:03,16.67,16.71472,BUY
34,19:17:03,16.67,16.70354,BUY
35,19:17:03,16.67,16.69515,BUY
36,19:17:03,16.67,16.68887,BUY
37,19:17:03,16.6601,16.68167,BUY
38,19:17:03,16.659599781036377,16.67616,BUY
39,19:17:03,16.63195037841797,16.6651,BUY
40,19:17:04,16.64247465133667,16.65945,BUY
41,19:17:04,16.63249969482422,16.65271,BUY
42,19:17:04,16.62249994277954,16.64516,BUY
43,19:17:04,16.63249969482422,16.64199,BUY
44,19:17:04,16.646250247955322,16.64306,SELL
45,19:17:04,16.65999984741211,16.64729,SELL
46,19:17:04,16.65000009536743,16.64797,SELL
47,19:17:04,16.65500020980835,16.64973,SELL
48,19:17:04,16.65500020980835,16.65105,SELL
49,19:17:04,16.664999961853027,16.65453,SELL
50,19:17:04,16.668749809265137,16.65809,SELL
51,19:17:04,16.68499994277954,16.66482,SELL
52,19:17:04,16.690000534057617,16.67111,SELL
53,19:17:04,16.687500476837158,16.67521,SELL
54,19:17:04,16.70485019683838,16.68262,SELL
55,19:17:04,16.701124668121338,16.68725,SELL
56,19:17:04,16.686224460601807,16.68699,BUY
57,19:17:04,16.68019962310791,16.68529,BUY
58,19:17:04,16.672475337982178,16.68209,BUY
59,19:17:04,16.663750171661377,16.6775,BUY
60,19:17:04,16.65250015258789,16.67125,BUY
61,19:17:04,16.651249885559082,16.66625,BUY
62,19:17:04,16.640774726867676,16.65988,BUY
63,19:17:04,16.640499591827393,16.65504,BUY
64,19:17:04,16.624999523162842,16.64753,BUY
65,19:17:04,16.627424716949463,16.6425,BUY
66,19:17:04,16.634999752044678,16.64063,BUY
67,19:17:04,16.641249656677246,16.64078,SELL
68,19:17:04,16.649999618530273,16.64309,SELL
69,19:17:04,16.65374994277954,16.64575,SELL
70,19:17:04,16.653850078582764,16.64778,SELL
71,19:17:04,16.657100200653076,16.65011,SELL
72,19:17:04,16.651750087738037,16.65052,SELL
73,19:17:04,16.65999984741211,16.65289,SELL
74,19:17:04,16.67750072479248,16.65904,SELL
75,19:17:04,16.683949947357178,16.66527,SELL
76,19:17:04,16.674375534057617,16.66755,SELL
77,19:17:04,16.673049926757812,16.66892,SELL
78,19:17:04,16.6875,16.67357,SELL
79,19:17:04,16.6951003074646,16.67895,SELL
80,19:17:04,16.712374687194824,16.68731,SELL
81,19:17:04,16.726425170898438,16.69709,SELL
82,19:17:04,16.71500015258789,16.70156,SELL
83,19:17:04,16.71994972229004,16.70616,SELL
84,19:17:04,16.72042465209961,16.70973,SELL
85,19:17:04,16.71999979019165,16.71229,SELL
86,19:17:04,16.704999923706055,16.71047,BUY
87,19:17:04,16.699750423431396,16.70779,BUY
88,19:17:04,16.69505023956299,16.70461,BUY
