,Ticker:,Total Gain:,Trades:
0,A,-0.5758717596057151%,23
1,AAL,-0.42529041810482243%,28
2,AAP,-1.1303807269404593%,26
3,AAPL,0.18212661684703874%,30
4,ABBV,0.09019771895942937%,24
5,ABC,0.9222423542575913%,20
6,ABT,-0.5829819803091442%,23
7,ACGL,-0.0058213954681149704%,24
8,ACN,-0.2184197382416937%,28
9,ADBE,-0.5491881150659405%,28
10,ADI,-0.6620284749018271%,26
11,ADM,-0.9699399439062337%,21
12,ADP,-1.4657933230630718%,28
13,ADSK,0.808952847193931%,35
14,AEE,0.13050560624542468%,28
15,AEP,-0.12951539550266486%,27
16,AES,-1.7158329248730964%,26
17,AFL,-0.22301699032266714%,26
18,AIG,-1.216176631012253%,22
19,AIZ,-1.0654494744932965%,18
20,AJG,0.36089042896039314%,25
21,AKAM,-1.0659493272248377%,25
22,ALB,-2.4567576297402387%,22
23,ALGN,-3.0634395497305134%,22
24,ALK,-1.1516489814771902%,25
25,ALL,-0.1596864267476508%,27
26,ALLE,-1.379920860408037%,18
27,AMAT,-0.8305061845946794%,28
28,AMCR,-0.6251197995127291%,27
29,AMD,-1.5399200353346159%,20
30,AME,0.20297540967863947%,23
31,AMGN,0.11354499130950944%,27
32,AMP,0.2944784970513612%,24
33,AMT,-2.114703244153196%,23
34,AMZN,-0.5834993334972376%,30
35,ANET,0.1933217371617201%,29
36,ANSS,0.06941020357907685%,23
37,AON,0.5103088825195236%,31
38,AOS,-1.1330839861918216%,22
39,APA,0.2375541365537498%,26
40,APD,0.947999825261344%,33
41,APH,-0.46250046546751605%,27
42,APTV,-1.3475246684907902%,25
43,ARE,-1.1345058886699828%,26
44,ATO,-0.6433474623892036%,26
45,ATVI,-0.2814279790755195%,32
46,AVB,-0.8574788422610693%,31
47,AVGO,-0.11341435054235477%,28
48,AVY,1.0459258008030232%,25
49,AWK,0.11167446279027729%,27
50,AXP,-1.1518981706637321%,26
51,AZO,1.075928205756507%,14
52,BA,-1.600360825093106%,21
53,BAC,-1.03998238960459%,31
54,BALL,-0.9843375279485609%,20
55,BAX,-1.972410072289734%,22
56,BBWI,-3.0645955392269855%,19
57,BBY,-1.3651648174658673%,24
58,BDX,-0.18669711850994394%,28
59,BEN,-0.902024437107729%,22
60,BF-B,-0.07865176225053074%,28
61,BG,-1.3026886100678676%,20
62,BIIB,-0.02233984036346863%,23
63,BIO,-3.340841023964493%,5
64,BK,-0.8134878393620343%,30
65,BKNG,0.939629779917955%,16
66,BKR,-1.58884627118982%,23
67,BLK,-0.8719185454516697%,15
68,BMY,-0.15082898960529317%,27
69,BR,-1.0961715745413858%,14
70,BRK-B,-0.6452768911142162%,24
71,BRO,0.1302869215856898%,26
72,BSX,-0.9657066842378462%,21
73,BWA,-0.31007587956822763%,31
74,BXP,-2.695916052633416%,24
75,C,-1.278526076007016%,27
76,CAG,-0.9558149119792737%,25
77,CAH,-0.1677103809037012%,23
78,CARR,-0.3236566796211637%,28
79,CAT,-1.233926530968051%,23
80,CB,0.5574035864332796%,29
81,CBOE,0.14396195052534266%,24
82,CBRE,-2.054802319312487%,21
83,CCI,-0.530882150718207%,27
84,CCL,0.1788708646289492%,30
85,CDAY,0.7923916293078521%,31
86,CDNS,0.44611092228855603%,35
87,CDW,-0.5551312020312594%,22
88,CE,-1.9980405608107992%,24
89,CEG,-0.385747157284258%,32
90,CF,-1.5424689152021853%,27
91,CFG,-1.9673485109007112%,26
92,CHD,-0.5057690299252948%,22
93,CHRW,-2.588838962898156%,27
94,CHTR,-0.7196689859482563%,27
95,CI,-0.19904143821214088%,24
96,CINF,1.012921757833897%,27
97,CL,-0.6730820962760878%,26
98,CLX,-0.9914729892111513%,25
99,CMA,-1.1344177344632786%,33
100,CMCSA,-0.25262794116410947%,30
101,CME,0.12821948260733176%,33
102,CMG,-0.13532492081353467%,12
103,CMI,-0.5164494936721123%,19
104,CMS,0.13464637007728975%,31
105,CNC,-1.647513726961495%,22
106,CNP,-0.5648772821533272%,29
107,COF,-0.2873805065484855%,31
108,COO,-0.9173771911674394%,16
109,COP,0.5699678411773925%,24
110,COST,-0.14868484572117358%,30
111,CPB,-0.9226254145315266%,26
112,CPRT,0.26689041492382165%,29
113,CPT,-0.9444160602991685%,32
114,CRL,-2.4085084681450786%,15
115,CRM,-1.0399742418304043%,24
116,CSCO,-0.268160823839184%,26
117,CSGP,-0.5585761716295312%,26
118,CSX,-0.6770190172875322%,31
119,CTAS,0.07652071048095725%,22
120,CTLT,-4.460431713241223%,24
121,CTRA,-1.9554782954691603%,26
122,CTSH,-0.7879855655457587%,22
123,CTVA,-0.6139237459184445%,25
124,CVS,-0.3020672094633687%,25
125,CVX,-0.9160410097397127%,23
126,CZR,-1.520371425702608%,23
127,D,-1.6532987671172439%,23
128,DAL,-0.48356455664073117%,27
129,DD,-0.29150220264418114%,31
130,DE,-0.44176679465941004%,29
131,DFS,-0.5864412523463676%,26
132,DG,-0.5545538286525431%,24
133,DGX,0.14639523934958765%,29
134,DHI,0.18566132754554146%,31
135,DHR,-1.0304649380213489%,22
136,DIS,-0.43671423068550363%,32
137,DISH,-4.565827059961119%,27
138,DLR,-3.1794992123308576%,32
139,DLTR,0.519245922540986%,27
140,DOV,-1.9915626320390547%,20
141,DOW,-1.4622322399672312%,24
142,DPZ,-1.0878978669422659%,18
143,DRI,-1.1489244669849654%,28
144,DTE,-0.7886908362137204%,22
145,DUK,-0.9275216963407587%,22
146,DVA,-0.15686452632912384%,23
147,DVN,-0.9148555780397556%,25
148,DXC,-1.8193700547423608%,24
149,DXCM,-0.8314589806844276%,26
150,EA,0.1535595490014243%,31
151,EBAY,-0.9725857060352322%,21
152,ECL,-0.5188012163795966%,26
153,ED,-0.41727043678516695%,29
154,EFX,-1.073075289825845%,23
155,EIX,-0.20614806643734757%,27
156,EL,0.29623286042371044%,32
157,ELV,-0.33030460586357413%,21
158,EMN,-1.4275174123934655%,20
159,EMR,-1.624886606844977%,20
160,ENPH,-4.300708390202784%,28
161,EOG,-0.43814966151308343%,29
162,EPAM,1.4694266602920039%,17
163,EQIX,-1.1101287428685747%,17
164,EQR,-1.1267867649692345%,32
165,EQT,-2.9462754953345116%,25
166,ES,-1.048083258298805%,27
167,ESS,-0.4172849347449119%,21
168,ETN,-0.24920670113953755%,27
169,ETR,-0.0338013126771576%,31
170,ETSY,-4.334153962279692%,17
171,EVRG,-0.5748032500182495%,29
172,EW,-0.8239496036720629%,25
173,EXC,-0.22079664204868552%,29
174,EXPD,-2.3963112093645598%,20
175,EXPE,-2.7336696779176584%,21
176,EXR,-0.2032742751794003%,32
177,F,-0.3225991751054578%,27
178,FANG,-0.7151369802233021%,25
179,FAST,-0.9001437576459815%,20
180,FCX,-1.766768376965713%,26
181,FDS,0.3574929817003873%,10
182,FDX,0.00022055753884380196%,26
183,FE,-0.30582122637698705%,31
184,FFIV,-0.012479533785766161%,20
185,FICO,-0.11699803893255549%,16
186,FIS,-1.0749982278812342%,31
187,FISV,-0.9123255632577546%,24
188,FITB,-1.6816159101982586%,29
189,FLT,0.2710286042745214%,22
190,FMC,-0.38992815813423276%,23
191,FOX,0.0026762697413481307%,31
192,FOXA,-0.7519922809600599%,28
193,FRC,1.6220297819624334%,33
194,FRT,-0.8343483559836631%,24
195,FSLR,-3.1970805470888948%,27
196,FTNT,-0.08643030471072846%,29
197,FTV,-1.335613549519652%,19
198,GD,0.2898812768257291%,25
199,GE,-0.8096702493420985%,25
200,GEHC,0.12983057324993916%,25
201,GEN,-0.10245000554616977%,28
202,GILD,-0.3366234555087434%,24
203,GIS,-0.09330982548594892%,31
204,GL,0.11134178356243594%,16
205,GLW,-0.5024612858214843%,33
206,GM,-1.9978341410223523%,22
207,GNRC,-1.0640823559413435%,28
208,GOOG,0.23402663636011678%,27
209,GOOGL,0.2651208491077852%,27
210,GPC,0.5074617414557939%,29
211,GPN,-0.04939594596326563%,34
212,GRMN,0.27076506506518067%,27
213,GS,-0.7162672480533775%,25
214,GWW,-0.522194864356007%,10
215,HAL,0.830413727495287%,27
216,HAS,-1.7373205394861375%,25
217,HBAN,0.021274132198369697%,31
218,HCA,0.6341545866254116%,28
219,HD,0.04350090379037631%,27
220,HES,1.0894473937225964%,28
221,HIG,-0.35100935654314785%,26
222,HII,0.6421758671632143%,17
223,HLT,-1.2460158587363466%,25
224,HOLX,-0.9162319454057756%,23
225,HON,-1.1706791895778297%,14
226,HPE,0.2764398773443059%,29
227,HPQ,-0.47383682876298006%,23
228,HRL,-0.4077160725452588%,22
229,HSIC,-0.2636681000687774%,25
230,HST,-0.8697878188200251%,28
231,HSY,0.45123489943377365%,23
232,HUM,0.32916059523191105%,23
233,HWM,0.27971672820497007%,28
234,IBM,-0.1547026051904684%,26
235,ICE,0.4005221767217817%,33
236,IDXX,-4.116813036158831%,17
237,IEX,-0.5102663140115835%,12
238,IFF,-1.5825377511322127%,27
239,ILMN,-1.515404161120697%,30
240,INCY,0.1212572367072828%,27
